page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530,Pitt Bull red nose femelle,Sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/742530_uploaded_image1_1563025513.69.png""); width: 601px;",Non défini,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716,Chiots Pitbull,250000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/742716_uploaded_image2_1563030467.78.png""); width: 525px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558,Caniche bichon,200000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/751558_uploaded_image1_1563309112.52.png""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-751964,Chiot Boerboel,450000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/751964_uploaded_image1_1563320930.56.png""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/pitbull-red-nose-778978,Pitbull Red Nose,220000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/778978_uploaded_image1_1564025139.31.png""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455,Caniche bichons maltais,190000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/788455_uploaded_image1_1564267086.61.png""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-a-poil-long-848994,Chien berger allemand à poil long,200000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/848994_uploaded_image1_1566053635.51.png""); width: 449px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-891450,Chiots Cane Corso,Sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/891450_uploaded_image1_1567127976.09.png""); width: 383px;",Non défini,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/pitbull-black-nose-900600,Pitbull black nose,250000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/900600_uploaded_image1_1567424429.78.png""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-956906,Chiot Cane Corso,800000,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/956906_uploaded_image1_1568758075.68.png""); width: 488px;",CFA,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/boerboel-femelle-989796,Boerboel femelle,400000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/989796_uploaded_image1_1569465977.94.png""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-1000525,Chiots,350000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1000525_uploaded_image1_1569688531.08.png""); width: 552px;",CFA,Les,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-akita-americain-1106542,Chiot akita américain,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1106542_uploaded_image1_1571934153.2.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1115802,Chiot berger allemand,200000,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1115802_uploaded_image1_1572126146.27.png""); width: 369px;",CFA,Patte,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-1122493,Chien Rottweiler,375000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1122493_uploaded_image2_1572275963.47.png""); width: 432px;",CFA,"Dieuppeul-Derklé,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-1123229,Chiots Berger Allemand,350000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1123229_uploaded_image2_1572285379.45.png""); width: 560px;",CFA,Parcelle,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/pitbull-1139092,Pitbull,90000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1139092_uploaded_image1_1572580780.65.png""); width: 373px;",CFA,Dakar,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-de-race-pure-1148739,Chiots Berger Allemand de race pure,125000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1148739_uploaded_image1_1572796180.58.png""); width: 416px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-blanc-1163882,Berger blanc,200000,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/1163882_uploaded_image1_1577060329.24.png""); width: 449px;",CFA,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/chiens/bichons-malte-1176190,Bichons malté,180000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1176190_uploaded_image1_1573296965.03.png""); width: 389px;",CFA,"Cambérène,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/bergers-labrador-pitbull-rottweiler-1184876,Bergers - labrador - pitbull - rottweiler,Sur demande,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1184876_uploaded_image1_1573492032.86.png""); width: 369px;",Non défini,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/bichon-maltais-1208713,Bichon maltais,170000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1208713_uploaded_image1_1573923517.79.png""); width: 411px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-1279844,Chiots Cane Corso,500000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1279844_uploaded_image1_1575227437.45.png""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-pitbull-1339794,Chien Pitbull,150000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1339794_uploaded_image1_1576322961.44.png""); width: 432px;",CFA,"Dieuppeul-Derklé,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-1381280,Chiots Shih-Tzu,250000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1381280_uploaded_image1_1577118817.92.png""); width: 444px;",CFA,Point,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1387279,Chiot Berger Allemand,350000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1387279_uploaded_image1_1577244796.5.png""); width: 418px;",CFA,Parcelle,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-1396092,Chiots Dalmatiens,450000,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1396092_uploaded_image1_1577444313.67.png""); width: 488px;",CFA,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/bebe-lhasa-apso-1426072,Bebé Lhasa Apso,Sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/1426072_uploaded_image1_1578142225.59.png""); width: 548px;",Non défini,"Mbour,","Mbour,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-chowchow-1444195,Chiots Chowchow,990000,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1444195_uploaded_image1_1578452519.81.png""); width: 488px;",CFA,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/spitz-nain-1455313,Spitz nain,Sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1455313_uploaded_image1_1578601460.81.png""); width: 602px;",Non défini,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-dog-argentin-cane-corso-1477206,Chiots husky sibérien - dog argentin - cane corso,350000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1477206_uploaded_image1_1578994405.03.png""); width: 415px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniche-1502314,Caniche,100000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1502314_uploaded_image1_1579389662.11.png""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniches-1502318,Caniches,100000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1502318_uploaded_image1_1579389696.6.png""); width: 545px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniche-1502366,Caniche,100000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1502366_uploaded_image1_1579392503.84.png""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-akita-americain-1536386,Chiots akita américain,990000,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1536386_uploaded_image1_1580821754.85.png""); width: 488px;",CFA,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-hight-quality-husky-siberien-1568103,Chiots Hight quality husky Sibérien,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1568103_uploaded_image1_1580413061.76.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-1571895,Chiot Spitz nain,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1571895_uploaded_image1_1580477105.7.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536,Spitz pomperanian nain,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1592536_uploaded_image1_1580821182.56.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645,Doberman lignée européenne,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1592645_uploaded_image1_1580822366.65.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/pekinois-1592664,Pékinois,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1592664_uploaded_image1_1580822577.52.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/doberman-1621541,Doberman,400000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1621541_uploaded_image1_1581266142.61.png""); width: 420px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361,Chiot berger belge malinois,175000,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1628361_uploaded_image1_1581360490.25.png""); width: 602px;",CFA,"Pikine,","Pikine,",Sénégal
https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117,Cani corso,600000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1716117_uploaded_image1_1582837304.5.png""); width: 419px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519,Chien Bichon,Sur demande,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1733519_uploaded_image3_1583168047.85.png""); width: 388px;",Non défini,"Ouakam,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179,Doberman pure souche,350000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1803179_uploaded_image1_1584379219.84.png""); width: 420px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570,Chien Dogue Allemand,Sur demande,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1840570_uploaded_image2_1585048708.25.png""); width: 438px;",Non défini,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniches-1840583,Caniches,Sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1840583_uploaded_image1_1585048857.01.png""); width: 438px;",Non défini,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107,Chiots Spitz nain pomeranian,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862107_uploaded_image1_1585455904.62.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112,Chiots Shiba inu,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862112_uploaded_image1_1585456241.69.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
