page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/moutons/mouton-2476429,Mouton,175000.0,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476429_uploaded_image1_1595552984.jpg""); width: 414px;",CFA,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2476432,Mouton,293934901.50877196,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476432_uploaded_image1_1595553029.jpg""); width: 414px;",demande,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2476438,Mouton,185000.0,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476438_uploaded_image1_1595553129.jpg""); width: 414px;",CFA,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2476442,Mouton,135000.0,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476442_uploaded_image1_1595553184.jpg""); width: 414px;",CFA,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2476451,Mouton,135000.0,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2476451_uploaded_image1_1595553317.jpg""); width: 414px;",CFA,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2478859,Mouton,350000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2478859_uploaded_image1_1595606128.43.jpeg""); width: 567px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2478871,Moutons,325000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2478871_uploaded_image1_1595606375.21.jpeg""); width: 567px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2479050,Mouton,500000.0,"Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2479050_uploaded_image2_1595609326.jpeg""); width: 476px;",CFA,"Medina,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2479813,Moutons,350000.0,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2479813_uploaded_image1_1595623583.jpg""); width: 388px;",CFA,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2480059,Mouton,125000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480059_uploaded_image1_1595628588.jpg""); width: 410px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2480280,Mouton,293934901.50877196,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480280_uploaded_image1_1595631786.jpg""); width: 414px;",demande,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2480284,Mouton,293934901.50877196,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480284_uploaded_image1_1595631819.jpg""); width: 414px;",demande,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2480286,Mouton,293934901.50877196,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480286_uploaded_image1_1595631859.jpg""); width: 414px;",demande,Sicap,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2480332,Mouton,500000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2480332_uploaded_image1_1595632537.jpg""); width: 541px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482210,Mouton,185000.0,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482210_uploaded_image1_1595684396.jpg""); width: 388px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482245,Mouton,150000.0,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482245_uploaded_image1_1595685020.jpg""); width: 388px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2482334,Moutons,135.0,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482334_uploaded_image1_1595686358.jpg""); width: 369px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2482386,Moutons,180000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482386_uploaded_image2_1595687045.jpeg""); width: 478px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482438,Mouton,250000.0,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482438_uploaded_image1_1595688131.jpg""); width: 369px;",CFA,Ouest,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482461,Mouton,200000.0,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482461_uploaded_image1_1595688566.jpg""); width: 369px;",CFA,Ouest,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482469,Mouton,210000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482469_uploaded_image1_1595688795.jpg""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-elevage-2482497,Mouton élevage,210000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482497_uploaded_image1_1595689095.jpg""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482513,Mouton,293934901.50877196,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482513_uploaded_image1_1595689410.jpg""); width: 369px;",demande,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2482541,Moutons,299999.0,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482541_uploaded_image2_1595689965.jpeg""); width: 562px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2482666,Mouton,300000.0,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482666_uploaded_image1_1595692369.jpg""); width: 388px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2482759,Moutons,293934901.50877196,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2482759_uploaded_image1_1595694878.jpg""); width: 555px;",demande,"Fass,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2484032,Mouton,293934901.50877196,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2484032_uploaded_image1_1595731823.jpg""); width: 387px;",demande,"Rufisque,","Rufisque,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2484033,Mouton,293934901.50877196,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2484033_uploaded_image1_1595731898.jpg""); width: 387px;",demande,"Rufisque,","Rufisque,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2484034,Mouton,293934901.50877196,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2484034_uploaded_image1_1595731974.jpg""); width: 387px;",demande,"Rufisque,","Rufisque,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2484035,Mouton,293934901.50877196,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2484035_uploaded_image1_1595732058.jpg""); width: 387px;",demande,"Rufisque,","Rufisque,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2484036,Mouton,293934901.50877196,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2484036_uploaded_image1_1595732124.jpg""); width: 387px;",demande,"Rufisque,","Rufisque,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2486092,Mouton,190000.0,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2486092_uploaded_image1_1595792898.jpg""); width: 583px;",CFA,"Mbao,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2487271,Mouton,120000.0,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2487271_uploaded_image1_1595839511.jpg""); width: 566px;",CFA,"Mbao,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/moutons-2487408,Moutons,200000.0,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2487408_uploaded_image2_1595841920.jpeg""); width: 488px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-2487484,Mouton,650000.0,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2487484_uploaded_image2_1595843122.jpeg""); width: 369px;",CFA,Dakar,"Dakar,",Sénégal
