page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123,Perruches,299564.11042944784,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/751123_uploaded_image1_1563297186.25.png""); width: 410px;",demande,Point,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220,Carpe Koï Japonaise ( Aquarium),50000.0,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/827220_uploaded_image2_1565349629.4.png""); width: 526px;",CFA,"Dakar-Plateau,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280,Perruches,299564.11042944784,Sénégal,"background-image: url(""https://images.coinafrique.com/845280_uploaded_image1_1565952077.54.png""); width: 449px;",demande,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425,Poisson d'aquarium,35000.0,Sénégal,"background-image: url(""https://images.coinafrique.com/863425_uploaded_image1_1566425287.55.png""); width: 526px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/buf-885779,Bœuf,400000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/885779_uploaded_image3_1566997623.56.png""); width: 414px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895,Chèvre Balami,200000.0,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/917895_uploaded_image2_1567801722.96.png""); width: 369px;",CFA,Saint,"Louis,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881,Verrat de race Large white,200000.0,Sénégal,"background-image: url(""https://images.coinafrique.com/929881_uploaded_image2_1568141261.15.png""); width: 619px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/caille-931708,Caille,1000.0,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png""); width: 412px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474,Oies  bourbonaises,50000.0,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/990474_uploaded_image1_1569491306.15.png""); width: 405px;",CFA,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139,Mouton ladoum pure sang,299564.11042944784,Sénégal,"background-image: url(""https://images.coinafrique.com/1011139_uploaded_image1_1569950027.26.png""); width: 389px;",demande,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419,Boeuf,299564.11042944784,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1129419_uploaded_image1_1572391697.86.png""); width: 369px;",demande,"Dakar,","Dakar,",Sénégal
