page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692,Lapins et lapereaux Angora Californien,Prixsur,"Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729692_uploaded_image1_1562719154.82.png""); width: 457px;",demande,"Medina,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710,Poulet de chair,3000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729710_uploaded_image1_1562719384.82.png""); width: 395px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715,Lapins et lapereaux angora Californien,Prixsur,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729715_uploaded_image1_1562719494.94.png""); width: 457px;",demande,"Médina,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183,Lapin géant,70000,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/761183_uploaded_image1_1563536095.25.png""); width: 369px;",CFA,"Mbour,","Mbour,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940,Lapins,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/774940_uploaded_image1_1563940703.34.png""); width: 596px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654,Poulet de chair,2000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/798654_uploaded_image2_1564576617.9.png""); width: 532px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858,Coqs Brahmane,5000,"Thies Ouest, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/841858_uploaded_image1_1565838064.66.png""); width: 562px;",CFA,Thies,"Thiès,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961,Lapin Buchka,7000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/848961_uploaded_image1_1566052780.75.png""); width: 369px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420,Coq et poussins bleus,15000,Sénégal,"background-image: url(""https://images.coinafrique.com/855420_uploaded_image1_1566249496.28.png""); width: 428px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710,Race bleu d' hollande,800,Sénégal,"background-image: url(""https://images.coinafrique.com/858710_uploaded_image1_1566319546.08.png""); width: 461px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099,Femelle GDF 4 mois,70000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png""); width: 387px;",CFA,"Médina,","Dakar,",Sénégal
