web-scraper-order,web-scraper-start-url,links,links-href,price,adresse,image-link-src,marque
"1738685270-1","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","T-max","https://www.dakarvente.com/annonce-9-t-max.html","1.700.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/78b7dd4158bd818b569ec884c624ade2.jpg","T-max année 2010 kilomètres 30000km . Tél : 770308474"
"1738685281-2","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda sh","https://www.dakarvente.com/annonce-194-honda-sh.html","1.200.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/6f3687b2965ffde414a321f13dbd7537.jpg","Bonjour; je vends cette très belle honda sh 150cm3 venant d'europe jamais rouler au sénégal avec papier presque neuve moteur en parfait état de marche entretient déjà faite avec 9 mille kilomètre 

Tel :776972163"
"1738685288-3","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda hornet 600","https://www.dakarvente.com/annonce-196-honda-hornet-600.html","","","",""
"1738685306-4","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Vespa 250","https://www.dakarvente.com/annonce-256-vespa-250.html","550.000  FCFA","Offre d'un particulier à Plateau","","Vespa 250 bon état prix négociable 

telephone ; 705865971"
"1738685312-5","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Nexus m-35","https://www.dakarvente.com/annonce-254-nexus-m-35.html","750.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/71026334934e23ad867113c1dc35ca15.jpg","Je vends ce superbe nexus 250 à injection en très bon état avec tous ses papiers en règle.

si vous êtes intéressés veuillez me contacter 772312043"
"1738685316-6","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Kymko 4 temps 125","https://www.dakarvente.com/annonce-252-kymko-4-temps-125.html","140.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/93a04ba02fde08d07eacad9a8fa3664e.jpg","Salut; je vends mon kymko 4 temps 125 cm3 en fonctionnement avec un bonne mallette 

tel : 784771899"
"1738685322-7","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter agility","https://www.dakarvente.com/annonce-253-scooter-agility.html","255.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/31b95ae0f60850fd690b98dd47c13ccd.jpg","Urgent à vendre cause double emploi 

appelez au 775621587"
"1738685335-8","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax 500","https://www.dakarvente.com/annonce-355-tmax-500.html","1.650.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/7793c38cf9962a54a16a72257c89840a.jpg","Pour des raisons d'achat de voiture, je cède cette belle tmax 2008 avec un moteur neuf et papier complet (carte-grise + assurance 1 an), que j'avais acheté juste pour le boulot en ville. merci de me contacter au plus vite.

tel : 774269230"
"1738685339-9","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Yamaha  Yzf 450","https://www.dakarvente.com/annonce-734-yamaha-yzf-450.html","","","",""
"1738685342-10","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda transalp 700","https://www.dakarvente.com/annonce-730-honda-transalp-700.html","","","",""
