web-scraper-order,web-scraper-start-url,links,links-href,price,marque,adresse,image-link-src
"1738685314-1","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy grand prime plus 4g","https://www.dakarvente.com/annonce-49-samsung-galaxy-grand-prime-plus-4g.html","57.000  FCFA","Samsung galaxy grand prime plus 4g nouveau model originale tout neuf scellé dans sa boité dual sim quand core 1.3 ghz système androïde lolipop très rapide et puissante et qui prend toutes les applications tout comme viber whatsaap imo facebook ext..., mémoire interne 8 go ram 1 go microsd prend carte mémoire jusqu'à 128 go photo 8 mégapixels plus flash led auto focus et une caméra frontale de 5 mégapixels réseau 4g 3g la batterie très résistant et qui dure des jours smartphone authentique haut de gamme en promotion garantie vendu avec facture et livraison gratuit à un prix imbattable.

Tel :","Offre d'un professionnel à Plateau","media/annonces/pics/f57c0f01b47c67ad134a7304efe62f95.jpg"
"1738685321-2","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 5s","https://www.dakarvente.com/annonce-48-iphone-5s.html","80.000  FCFA","Vends iphone 5s en tres bon état

Contact : 781222853","Offre d'un professionnel à Plateau","media/annonces/pics/9721713600cdfdc2646d9778be3e0cfc.jpeg"
"1738685328-3","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-47-samsung-galaxy-s6-edge.html","159.900  FCFA","Je vends des samsung galaxy s6 edge tout neuf dans leur boite vendu avec facture possibilité de faire la livraison

ps: pas d’échange

Tel :776081330","Offre d'un professionnel à Plateau","media/annonces/pics/7e827f0d8ed40feeeff65a5b0ef747b8.jpeg"
"1738685343-4","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Galaxy note 8","https://www.dakarvente.com/annonce-16-galaxy-note-8.html","","","",""
"1738685348-5","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j3","https://www.dakarvente.com/annonce-15-samsung-galaxy-j3.html","","","",""
"1738685355-6","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 8 plus","https://www.dakarvente.com/annonce-175-iphone-8-plus.html","500.000  FCFA","Iphone 8 plus rouge 64go tout neuf scellé avec un an de garantie. 

Tel : 776604525","Offre d'un particulier à Plateau","media/annonces/pics/bba3d66b958b8ce0a3cef3ce70057d68.jpg"
"1738685363-7","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy grand prime+ 4g","https://www.dakarvente.com/annonce-210-samsung-galaxy-grand-prime-4g.html","57.900  FCFA","Samsung galaxy grand prime plus original tout neuf scellé dans sa boîte dual sim quad core 1.3ghz système android lolipop très rapide et puissant prend toutes les applications très large mémoire interne 8go ram 1go extensible avec carte mémoire jusqu'à 128go écran large de 5 pouces super amoled capacitif 16millions de couleur superbe appareil photo tres claire et nette tres haute qualité image 8megapixels flash led auto focus détection sourire et visages et caméra frontale très clair et nette haut qualité image 5mégapixels flash led auto focus détection sourire et visages pour de jolie selfie batterie très résistante dure des jours très joli design superbe smartphone haut de gamme très performant connexion 4g lte et 3g très rapide à un prix imbattable promotionnel garantie 24 mois livraison gratuite avec facture.

Tel : 776214506","Offre d'un particulier à Plateau","media/annonces/pics/6a85de31e6379f2390e3314eec87fb31.jpg"
"1738685369-8","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 7 plus","https://www.dakarvente.com/annonce-212-iphone-7-plus.html","330.000  FCFA","Bonjour; des iphone 7 plus de 32g venant des état-unis en excellent état aucune rayure vendu avec chargeur sans les écouteurs sous garantie avec facture livraison gratuite.

Tel : 779736377","Offre d'un particulier à Plateau","media/annonces/pics/dd69b45b2c4ca9789e968643f1338003.jpeg"
"1738685375-9","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tablette enfant android 9pouces polaroid","https://www.dakarvente.com/annonce-213-tablette-enfant-android-9pouces-polaroid.html","32.500  FCFA","Vend tablette enfant polaroid android large écran de 9pouces wifi bluetooth camera devant et derrière 1go de ram plusieurs jeux d'applications et de vidéos éducatives déjà installer plus une pochette antichoc offerte dans sa boite avec son chargeur à 35000 livraison gratuite vendu avec facture garantie 1an","Offre d'un particulier à Plateau","media/annonces/pics/28ffdeee367c3fddf25cca65a89dc226.jpg"
"1738685382-10","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno f2","https://www.dakarvente.com/annonce-211-tecno-f2.html","39.900  FCFA","Smartphone tecno f2, tout neuf dans sa boite, 8go interne, port micro sd extensible, ram 1go, réseau 3g, ecran de 5 pouces, batterie de 2000mah, camera principale de 5 mégapixel, camera frontale de 2 mégapixel, android 7.0 nougat

nb : produit authentique et garantie 

Tel : 703436852","Offre d'un particulier à Plateau","media/annonces/pics/88a806ac2389205be1c624a51af50acc.jpg"
"1738685393-11","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j3","https://www.dakarvente.com/annonce-209-samsung-galaxy-j3.html","69.900  FCFA","Smartphone samsung galaxy j3 2016, tout neuf dans sa boite, 8go interne, port micro sd extensible jusqu'à 256go, ram 1go, réseau 3g, écran de 5 pouces, batterie de 2600mah, camera principale de 5 mégapixel, camera

frontale de 2 mégapixel, android 5.1

nb : produit authentique et garantie 

tel :703436852","Offre d'un particulier à Plateau","media/annonces/pics/c0907d38ee0399aeb2898a27f1d815f1.jpg"
"1738685399-12","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno w2","https://www.dakarvente.com/annonce-220-tecno-w2.html","37.000  FCFA","Dimensions : 13,6 x 6,73 x 1,14 cm

taille de l'écran : 4.5”

processeur : 1.3 ghz quad-core

mémoire ram: 1 go

wifi : oui

bluetooth : oui

système d'exploitation : android 6.0

camera 8mp arrière (4128×3096-pixel) / 0.4 mp ( 640×480-pixel) avant

mémoire interne : 8 go

battérie : 2500 mah

réseau edge / 2g / 3g

carte mémoire : jusqu'à 32 go

dual sim

neuf avec tous les accessoires 

tel : 774441499","Offre d'un particulier à Plateau","media/annonces/pics/6686654eb11158bcfef5bdc6521f4ce8.jpg"
"1738685408-13","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 6s","https://www.dakarvente.com/annonce-222-iphone-6s.html","169.900  FCFA","Iphone 6s 16go interne tout neuf dans sa boite scellé.

nb : produit authentique et garantie 

Tel : 703436852","Offre d'un particulier à Plateau","media/annonces/pics/2dca2e50e33253daee573995c6b520f5.jpg"
