web-scraper-order,web-scraper-start-url,links,links-href,marque,price,adresse,image-link-src
"1738752935-1","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location d'une citroen c4","https://www.dakarvente.com/annonce-437-location-d-une-citroen-c4.html","","20.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/a86bdb3107f5ddda48690f79dac478e3.jpg"
"1738752958-2","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voitures et mini bus avec chauffeur","https://www.dakarvente.com/annonce-648-location-de-voitures-et-mini-bus-avec-chauffeur.html","Description : 
Dabakh Location vous propose une gamme de voitures et mini bus diversifiée avec chauffeur à des prix très compétitifs pour assurer vos déplacements et excursions dans le cadre de vos activités ou de votre usage personnel.","50.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/baf6b26075945f9226489851936d8d65.jpg"
"1738752975-3","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Sen service location loue des voiture des marques","https://www.dakarvente.com/annonce-702-sen-service-location-loue-des-voiture-des-marques.html","Description : 
Sen service location loue des voiture des marques a prix occationnelle

Nissan rogue ,hyundai santafe ,peugeot 308,totota yaris ,ford scape etc…","30.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/15ea8355bee0950e2b7f50a9ad50b086.jpg"
"1738752982-4","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Toyota yaris sedan","https://www.dakarvente.com/annonce-1233-toyota-yaris-sedan.html","","20.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/2edb1d489a6de9f9c188533b89c779ca.jpg"
"1738752991-5","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Nissan juke","https://www.dakarvente.com/annonce-1377-nissane-juke.html","Description : 
Location véhicule","50.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/efc3fa21f902e1e8691a6d23e14eb5d8.jpg"
"1738753005-6","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Toyota sequoia v8 a louer","https://www.dakarvente.com/annonce-2070-toyota-sequoia-v8-a-louer.html","","100.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/516fe4d4d1e6c03dbbf60241d5bbeeaa.jpg"
"1738753016-7","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location  nissan juke","https://www.dakarvente.com/annonce-1378-location-nissan-juke.html","Description : 
Location auto","50.000  FCFA","Demande d'un particulier à Plateau","img/nophoto.png"
"1738753036-8","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Bateau à louer","https://www.dakarvente.com/annonce-3079-bateau-louer.html","","90.000  FCFA","Offre d'un particulier à Somone","media/annonces/pics/f3fe90a0ee4bb8c0e3232774052718cf.jpg"
"1738753043-9","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","ORGANISEUR POUR VOITURE","https://www.dakarvente.com/annonce-3352-organiseur-pour-voiture.html","Description : 
Vous l’accrochez facilement à l’appuie-tête d’un des sièges avant.



Caractéristiques:



Matière: Polyester



Dimensions: 56 x 42 cm



Couleur:  Noir","8.500  FCFA","Offre d'un professionnel à Dakar","media/annonces/pics/ff283a4ef0e2c75c782ee031ba194f63.jpg"
"1738753057-10","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location véhicules","https://www.dakarvente.com/annonce-4687-location-vhicules-louer.html","Description : 
Voitures climatisés et comfortable à louer à partir de 25 mil la journée pour vos séjour à Dakar et dans les régions","25.000  FCFA","Offre d'un particulier à Amitié","media/annonces/pics/1ac9aec248070b20d0d0d3946f417174.jpeg"
