web-scraper-order,web-scraper-start-url,links,links-href,name,price,adresse,image-link-src
"1739077016-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perruches","Prix sur demande","Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/751123_uploaded_image1_1563297186.25.png""); width: 410px;"
"1739077022-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Carpe Koï Japonaise ( Aquarium)","https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220","Carpe Koï Japonaise ( Aquarium)","50 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/827220_uploaded_image2_1565349629.4.png""); width: 526px;"
"1739077026-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","background-image: url(""https://images.coinafrique.com/845280_uploaded_image1_1565952077.54.png""); width: 449px;"
"1739077031-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Poisson d'aquarium","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","Poisson d'aquarium","35 000 CFA","Sénégal","background-image: url(""https://images.coinafrique.com/863425_uploaded_image1_1566425287.55.png""); width: 526px;"
"1739077036-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","Bœuf","400 000 CFA","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/885779_uploaded_image3_1566997623.56.png""); width: 414px;"
"1739077043-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Balami","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/917895_uploaded_image2_1567801722.96.png""); width: 369px;"
"1739077050-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Verrat de race Large white","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","Sénégal","background-image: url(""https://images.coinafrique.com/929881_uploaded_image2_1568141261.15.png""); width: 619px;"
"1739077058-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Caille","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Caille","1 000 CFA","Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png""); width: 412px;"
"1739077066-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies  bourbonaises","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/990474_uploaded_image1_1569491306.15.png""); width: 405px;"
"1739077074-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","Sénégal","background-image: url(""https://images.coinafrique.com/1011139_uploaded_image1_1569950027.26.png""); width: 389px;"
"1739077080-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1129419_uploaded_image1_1572391697.86.png""); width: 369px;"
"1739077087-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","Bœufs","350 000 CFA","Sénégal","background-image: url(""https://images.coinafrique.com/1198114_uploaded_image2_1573729988.91.png""); width: 419px;"
"1739077095-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1310387_uploaded_image1_1575790267.47.png""); width: 433px;"
