web-scraper-order,web-scraper-start-url,links,links-href,marque,price,adresse,image-link-src
"1738752625-1","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=47","Iphone 6 simple","https://www.dakarvente.com/annonce-140-iphone-6-simple.html","","130.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/9dc1cf2ff3a464553891afc718704bb5.jpg"
"1738752637-2","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=47","Vends un Tecno camon x pro","https://www.dakarvente.com/annonce-129-vends-un-tecno-camon-x-pro.html","","135.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/21192c68f3734e184c4a49a3d2bd73fc.jpg"
"1738752662-3","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Ipad air 1","https://www.dakarvente.com/annonce-51-ipad-air-1.html","","100.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/5ce958ccba81e204596af621e56f446f.jpg"
"1738752669-4","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy grand prime plus 4g","https://www.dakarvente.com/annonce-49-samsung-galaxy-grand-prime-plus-4g.html","","57.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/f57c0f01b47c67ad134a7304efe62f95.jpg"
"1738752677-5","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 5s","https://www.dakarvente.com/annonce-48-iphone-5s.html","","80.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/9721713600cdfdc2646d9778be3e0cfc.jpeg"
"1738752684-6","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-47-samsung-galaxy-s6-edge.html","","159.900  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/7e827f0d8ed40feeeff65a5b0ef747b8.jpeg"
"1738752690-7","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Motorola e4 plus","https://www.dakarvente.com/annonce-46-motorola-e4-plus.html","","89.900  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/92c7994737a276dd1fc2c290411a5ff3.jpeg"
"1738752697-8","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Galaxy note 8","https://www.dakarvente.com/annonce-16-galaxy-note-8.html","","430.000  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/871f957aa0a064da0a2befd2c53ab42c.jpg"
"1738752706-9","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j3","https://www.dakarvente.com/annonce-15-samsung-galaxy-j3.html","","69.900  FCFA","Offre d'un professionnel à Plateau","media/annonces/pics/588aab0a7019eeb3f3ca0741a651674a.png"
"1738752715-10","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 8 plus","https://www.dakarvente.com/annonce-175-iphone-8-plus.html","","500.000  FCFA","Offre d'un particulier à Plateau","media/annonces/pics/bba3d66b958b8ce0a3cef3ce70057d68.jpg"
